Agency Name,Type of Agency,County,disqualifies_complaints,restricts_delays_interrogations,gives_officers_unfair_access_to_information,limits_oversight_discipline,requires_city_pay_for_misconduct,erases_misconduct_records,requires_deescalation,bans_chokeholds_and_strangleholds,duty_to_intervene,requires_warning_before_shooting,restricts_shooting_at_moving_vehicles,requires_comprehensive_reporting,requires_exhaust_all_other_means_before_shooting,has_use_of_force_continuum
Inyo County Sheriff's Department,Sheriff's Department,Inyo County,1,1,1,0,0,0,0,0,1,1,0,0,0,0
Irvine Police Department,Police Department,Orange County,1,1,1,0,1,1,0,0,1,1,0,0,0,1
Kern County Sheriff's Department,Sheriff's Department,Kern County,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Kings County Sheriff's Department,Sheriff's Department,Kings County,1,1,1,1,0,0,0,0,1,1,0,0,0,0
Lake Sheriff's Department,Sheriff's Department,Lake County,1,1,1,0,0,0,0,0,1,1,0,0,0,0
Lassen Sheriff's Department,Sheriff's Department,Lassen County,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Livermore Police Department,Police Department,Alameda County,1,1,1,1,0,0,0,0,1,1,0,0,0,0
Long Beach Police Department,Police Department,Los Angeles County,1,1,1,0,0,0,0,0,0,1,0,0,1,0
Los Angeles County Sheriff's Department,Sheriff's Department,Los Angeles County,1,1,1,0,0,0,1,0,0,1,1,0,0,0
Los Angeles Police Department,Police Department,Los Angeles County,1,1,1,1,1,0,1,1,1,0,1,0,0,1
Madera Sheriff's Department,Sheriff's Department,Madera County,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Marin County Sheriff's Department,Sheriff's Department,Marin County,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Mariposa County Sheriff's Department,Sheriff's Department,Mariposa County,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Mendocino County Sheriff's Department,Sheriff's Department,Mendocino County,1,1,1,0,0,0,0,0,1,1,0,0,0,0
Merced County Sheriff's Department,Sheriff's Department,Merced County,1,1,1,1,0,0,0,0,1,1,0,0,0,0
Merced Police Department,Police Department,Merced County,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Milpitas Police Department,Police Department,Santa Clara County,1,1,1,1,0,1,0,0,1,1,0,0,0,0
Modesto Police Department,Police Department,Stanislaus County,1,1,1,1,0,0,0,0,1,1,0,0,0,0
Modoc County Sheriff's Department,Sheriff's Department,Modoc County,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Mono County Sheriff's Department,Sheriff's Department,Mono County,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Monterey County Sheriff's Department,Sheriff's Department,Monterey County,1,1,1,0,0,1,0,0,1,1,0,0,0,0
Mountain View Police Department,Police Department,Santa Clara County,1,1,1,0,0,0,0,0,1,1,0,0,0,0
Murrieta Police Department,Police Department,Riverside County,1,1,1,1,0,1,0,0,1,1,0,1,0,0
Napa County Sheriff's Department,Sheriff's Department,Napa County,1,1,1,1,1,0,0,0,1,1,0,0,0,0
National City Police Department,Police Department,San Diego County,1,1,1,0,0,1,0,0,0,0,0,0,0,0
Nevada County Sheriff's Department,Sheriff's Department,Nevada County,1,1,1,1,0,1,0,0,0,0,0,0,0,0
Newport Beach Police Department,Police Department,Orange County,1,1,1,0,0,0,0,0,1,1,0,1,0,1
Oakland Police Department,Police Department,Alameda County,1,1,1,1,1,1,1,0,1,0,0,1,1,1
Oceanside Police Department,Police Department,San Diego County,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Ontario Police Department,Police Department,San Bernardino County,1,1,1,0,0,1,0,0,1,1,0,0,0,0
Orange County Sheriff's Department,Sheriff's Department,Orange County,1,1,1,1,0,1,0,0,0,0,0,0,0,0
Orange Police Department,Police Department,Orange County,1,1,1,0,0,1,0,0,0,1,0,0,0,0
Oxnard Police Department,Police Department,Ventura County,1,1,1,0,0,0,0,0,1,1,0,0,0,0
Palm Springs Police Department,Police Department,Riverside County,1,1,1,0,0,0,0,0,1,1,0,0,0,0
Palo Alto Police Department,Police Department,Santa Clara County,1,1,1,1,0,1,0,0,1,1,0,0,0,0
Pasadena Police Department,Police Department,Los Angeles County,1,1,1,0,0,0,0,0,1,1,0,0,0,0
Pittsburg Police Department,Police Department,Contra Costa County,1,1,1,1,0,0,0,0,1,1,0,0,0,1
Placer County Sheriff's Department,Sheriff's Department,Placer County,1,1,1,0,0,0,0,0,0,0,0,0,0,1
Pleasanton Police Department,Police Department,Alameda County,1,1,1,1,0,0,0,0,1,1,0,0,0,0
Plumas County Sheriff's Office,Sheriff's Department,Plumas County,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Pomona Police Department,Police Department,Los Angeles County,1,1,1,1,0,1,0,0,1,1,0,0,0,0
Redding Police Department,Police Department,Shasta County,1,1,1,1,0,0,0,0,1,1,0,0,0,1
Redlands Police Department,Police Department,San Bernardino County,1,1,1,1,0,0,0,0,1,1,0,0,0,0
Redondo Beach Police Department,Police Department,Los Angeles County,1,1,1,1,0,0,0,0,1,1,0,0,0,0
Redwood City Police Department,Police Department,San Mateo County,1,1,1,1,0,1,0,0,0,0,0,0,0,0
Rialto Police Department,Police Department,San Bernardino County,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Richmond Police Department,Police Department,Contra Costa County,1,1,1,1,0,0,0,0,1,1,0,0,0,0
Riverside County Sheriff's Department,Sheriff's Department,Riverside County,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Riverside Police Department,Police Department,Riverside County,1,1,1,1,0,0,0,0,1,1,0,0,0,0
Roseville Police Department,Police Department,Placer County,1,1,1,0,0,0,0,0,1,1,0,0,0,0
Sacramento County Sheriff's Department,Sheriff's Department,Sacramento County,1,1,1,1,0,1,0,0,0,1,0,0,0,0
Sacramento Police Department,Police Department,Sacramento County,1,1,1,1,1,1,1,0,1,1,0,0,0,0
Salinas Police Department,Police Department,Monterey County,1,1,1,0,0,0,1,0,1,1,0,0,0,0
San Benito County Sheriff's Department,Sheriff's Department,San Benito County,1,1,1,0,0,0,0,0,0,0,0,0,0,0
