Agency Name,Type of Agency,County,Total Population of Jurisdiction,White Population,Black Population,Hispanic Population,Native American Population,Asian Population,Pacific Islander Population,Other Population,Multiracial Population,Percent High School Graduates in Jurisdiction,Unemployment Rate in Jurisdiction,Median Income,Poverty Rate
Clovis Police Department,Police Department,Fresno County,105243,31298,57129,2558,154,11115,417,477,2095,89.2,5.6,61349,15.5
Concord Police Department,Police Department,Contra Costa County,130469,39807,63782,6039,440,14309,996,693,4403,86.4,5.3,70786,15.3
Corona Police Department,Police Department,Riverside County,166826,71361,62677,7243,0,20154,1064,398,3929,87.5,3.5,69316,13.5
Costa Mesa Police Department,Police Department,Orange County,114794,40801,56877,2104,28,11813,682,71,2418,84.3,4.7,67545,14.9
Culver City Police Department,Police Department,Los Angeles County,40061,9207,19351,3119,55,6062,0,380,1887,91.9,4.6,86196,10.7
Daly City Police Department,Police Department,San Mateo County,108737,25339,12515,3100,253,63439,546,745,2800,84.8,4.3,76136,11.6
Downey Police Department,Police Department,Los Angeles County,115050,86632,15586,4314,0,7266,222,141,889,75.7,3.6,65662,10.7
El Cajon Police Department,Police Department,San Diego County,105343,30588,58544,5169,0,3813,2220,225,4784,82.2,9.1,46100,23.6
El Monte Police Department,Police Department,Los Angeles County,117947,73687,4814,494,19,38146,538,14,235,60.7,5.2,34309,27
Elk Grove Police Department,Police Department,Sacramento County,169153,30399,59147,16812,303,49947,1911,82,10552,90.9,6,79415,11.5
Escondido Police Department,Police Department,San Diego County,154296,74886,61178,3358,0,11087,90,281,3416,73.9,4.7,52011,19.1
Fairfield Police Department,Police Department,Solano County,113615,34759,35681,14393,220,19593,1775,1051,6143,85.2,7.6,68365,13.5
Fontana Police Department,Police Department,San Bernardino County,211285,144931,28279,19205,230,11690,1368,176,5406,73.4,7.1,65453,17.2
Fremont Police Department,Police Department,Alameda County,236353,30778,50434,7835,1446,133689,2770,590,8811,94.1,3.2,111541,6.4
Fresno Police Department,Police Department,Fresno County,526237,263495,137956,38821,1471,69163,985,946,13400,75.7,8.1,40786,32.1
Fullerton Police Department,Police Department,Orange County,142794,51447,44800,3619,119,37756,432,0,4621,87.9,5.2,64331,19
Garden Grove Police Department,Police Department,Orange County,178559,65157,34690,1676,1044,73004,770,161,2057,74.7,4.2,56910,19.7
Gardena Police Department,Police Department,Los Angeles County,61033,23303,5558,14242,134,15075,146,630,1945,82.6,5.3,45200,15.7
Glendale Police Department,Police Department,Los Angeles County,202249,36210,125223,2165,802,34319,91,136,3303,84.2,5.5,50779,16.3
Hawthorne Police Department,Police Department,Los Angeles County,88892,50160,8394,18575,0,5806,0,423,5534,72.4,7.3,44102,21.3
Hayward Police Department,Police Department,Alameda County,160702,64350,25778,17093,398,45238,2692,0,5153,80.6,4.1,67879,13.3
Huntington Beach Police Department,Police Department,Orange County,205512,43989,127720,1925,1016,22396,459,615,7392,91.7,3.5,84655,10.5
Inglewood Police Department,Police Department,Los Angeles County,113277,58391,4413,45887,0,1588,283,367,2348,72.9,10.7,39530,24.7
Irvine Police Department,Police Department,Orange County,264573,28321,109464,6264,375,109444,3,742,9960,96,3.9,91893,13.2
Livermore Police Department,Police Department,Alameda County,89702,17914,56877,590,15,10899,151,0,3256,91.1,1.9,104605,6.1
Long Beach Police Department,Police Department,Los Angeles County,478217,206722,128788,57593,1493,61518,3723,1108,17272,79.8,6.1,52666,21
Los Angeles Police Department,Police Department,Los Angeles County,4008967,1958332,1128234,335334,5857,471264,8000,12623,89323,76.8,6,50665,23
Merced Police Department,Police Department,Merced County,83386,42612,25064,3475,0,10000,0,53,2182,76.9,11.5,37001,36.8
Milpitas Police Department,Police Department,Santa Clara County,76276,12448,9725,1188,47,50378,516,63,1911,86.6,5.8,101037,10.2
Modesto Police Department,Police Department,Stanislaus County,213799,84383,98191,6369,347,16787,2037,424,5261,82.4,8.2,47949,21.5
Mountain View Police Department,Police Department,Santa Clara County,81880,15757,37860,1360,68,23450,38,27,3320,96,3.3,113989,7.4
Murrieta Police Department,Police Department,Riverside County,111548,31634,54086,10838,451,7516,234,302,6487,92.8,7.1,73735,9.8
National City Police Department,Police Department,San Diego County,61523,39173,5490,2956,8,13287,0,5,604,76.7,5.6,44076,25.8
Newport Beach Police Department,Police Department,Orange County,88636,8282,69128,93,156,8273,211,61,2432,97.5,4,116465,6.7
Oakland Police Department,Police Department,Alameda County,425422,114218,118302,100523,1742,65603,2515,1369,21150,81.1,6.4,57553,20.5
Oceanside Police Department,Police Department,San Diego County,179117,61429,86279,9677,555,13786,1489,0,5902,87.9,3.7,54225,16.4
Ontario Police Department,Police Department,San Bernardino County,172512,124779,25820,8460,93,9848,96,138,3278,71,5.3,53234,19.8
Orange Police Department,Police Department,Orange County,143122,53554,66773,1569,211,18112,149,0,2754,85.3,4.4,78348,15.7
Oxnard Police Department,Police Department,Ventura County,209123,156593,27068,5318,916,16840,23,0,2365,67.8,6.3,60506,17.3
