,graffiti,illegal,dumping,property,private,"""sc""",side,addition,must,fence,garage,building,overgrown,utility,permit,wall,front,living,rear,structure,"property,",removed,ave.,corner,DESCRIPTION,ADDRESS,lat,long,ID,CLASS
33,0.0,0.0,0.0,0.0,0.0,0,0.0,0.017241379310344827,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017241379310344827,0.017241379310344827,0,0.0,0,0.0,"Assessor’s & Microfilm research needed to determine whether original development had a garage that is now converted or if it was built without; dwelling addition to rear & garage conversion likely. Site inspection needed to confirm any additional unit in back – GIS aerials show a structure but unknown as to size, use, or if setbacks are met.","2737 MARLBOROUGH AVE, REDWOOD CITY, CA",37.472907,-122.213748,VIO2015-00150,Addition
34,0.0,0.022222222222222223,0.0,0.0,0.0,0,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.0,0,0.0,0,0.0,"""sc"" Outstanding issues of illegal 2nd unit and shed not meeting setbacks in SWN2013-00063 and additional issue of likely home addition to rear of dwelling (looks like a porch probably enclosed and then another porch added on). Assessor's and Microfilm research needed for these additions.","2739 MARLBOROUGH AVE, REDWOOD CITY, CA",37.472907,-122.213748,VIO2015-00152,Addition
35,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,covered patio/deck addition,"2799 BLENHEIM AVE, REDWOOD CITY, CA",37.471467,-122.213192,VIO2014-00302,Addition
36,0.0,0.0,0.0,0.0,0.0,0,0.0,0.007874015748031496,0.0,0.0,0.0,0.023622047244094488,0.0,0.0,0.007874015748031496,0.0,0.0,0.0,0.007874015748031496,0.007874015748031496,0,0.0,0,0.0,Assessor’s and Microfilm research needed to determine if sign was permitted. BLD2004-01240 approved a tenant improvement for 2 apartment units upstairs and a TV repair shop; the current use downstairs appears to be a sports apparel shop. No planning review for this change in use found but need to check in the 2004 permit for more details in case the sports apparel shop is in addition to a TV repair shop on the inside (not visible from street). An attached structure appears to have been added to the rear of the main building and the main building may have been expanded. The address on this building is out of order with the rest of the street with 2747 to the left and 2751 to the right. KF.,"2737 EL CAMINO REAL, NORTH FAIR OAKS, CA",36.339325,-121.256177,VIO2015-00131,Addition
37,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0,0.0,0,0.0,possible rear addition to building,"2751 EL CAMINO REAL, NORTH FAIR OAKS, CA",36.809182,-121.645659,VIO2015-00136,Addition
38,0.0,0.0,0.0,0.0,0.0,0,0.0,0.007874015748031496,0.0,0.0,0.0,0.023622047244094488,0.0,0.0,0.007874015748031496,0.0,0.0,0.0,0.007874015748031496,0.007874015748031496,0,0.0,0,0.0,Assessor’s and Microfilm research needed to determine if sign was permitted. BLD2004-01240 approved a tenant improvement for 2 apartment units upstairs and a TV repair shop; the current use downstairs appears to be a sports apparel shop. No planning review for this change in use found but need to check in the 2004 permit for more details in case the sports apparel shop is in addition to a TV repair shop on the inside (not visible from street). An attached structure appears to have been added to the rear of the main building and the main building may have been expanded. The address on this building is out of order with the rest of the street with 2747 to the left and 2751 to the right. KF.,"2737 EL CAMINO REAL, NORTH FAIR OAKS, CA",36.339325,-121.256177,VIO2015-00131,Addition
39,0.0,0.07142857142857142,0.0,0.0,0.0,0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,"""sc"" Illegal addition to 2737 El Camino Real (2739) and apartment in commercial zone","2737 EL CAMINO REAL, REDWOOD CITY, CA 94063",37.471348,-122.214216,VIO2016-00496,Addition
40,0.0,0.1,0.0,0.0,0.0,0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.05,0,0.0,0,0.0,"Complaint received ""3BR 3BA 1311 SF. There had been a permit to change pitch of roof."" illegal addition, illegal structure","2838 WESTMORELAND AVE, REDWOOD CITY, CA",37.47245,-122.21078,VIO2015-00277,Addition
41,0.0,0.04,0.0,0.0,0.0,0,0.04,0.04,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,"""sc"" Complaint received ""3BR 1BA built 1954 1290SF + garage. Google shows extension in back + shed + side additions."" illegal structures, addition, fence height","2850 WESTMORELAND AVE, REDWOOD CITY, CA",37.472351,-122.210802,VIO2015-00278,Addition
42,0.0,0.008403361344537815,0.0,0.0,0.0,0,0.0,0.03361344537815126,0.0,0.0,0.03361344537815126,0.0,0.0,0.0,0.008403361344537815,0.0,0.0,0.0,0.0,0.01680672268907563,0,0.0,0,0.0,"""sc"" Illegal structure on vacant parcel-054281-080 ""Built 1922 4BR 2BA + attached garage. 2 story has studio in back. 3/4/98 USE 97-0023 HIST room addition + garage. Addition of 2nd story, room & enclose carport as garage with substandard setbacks on non-conforming structure on non-conforming parcel. 1/7/00 PLN 2000-00015 Use permit to allow 525 SF addition where 360 SF approved. 9/17/00 MNA 2000-00032 need review of possible parcel merger. 5/12/98 BLD98-0568 addition/enlarge bedroom and change windows. 11/19/99 BLD99-01560 75% addition convert carport to garage. Add 2nd story 2 bed + 1 Ba 75%. 12/28/00 PLM2000-00667 to add fire sprinklers. 10/5/16 CZN: OWNER CAME IN TO DEMOLISH SHED WHICH TURNS OUT IS 300 SQ FT, HE NEEDS THE FULL DEMO","2876 WESTMORELAND AVE, REDWOOD CITY, CA",37.472095,-122.210426,VIO2015-00280,Addition
